"REF_DATE","GEO","DGUID","Sex or Gender","Indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970","British Columbia","2016A000259","Both sexes","Median age at marriage","Years","308","units","0","v1331244461","11.1.4","22.6","","","","1"
"1970","British Columbia","2016A000259","Males","Mean age at divorce","Years","308","units","0","v1331244454","11.2.1","40.8","","","","1"
"1970","British Columbia","2016A000259","Males","Median age at divorce","Years","308","units","0","v1331244455","11.2.2","39.0","","","","1"
"1970","British Columbia","2016A000259","Males","Mean age at marriage","Years","308","units","0","v1331244456","11.2.3","26.2","","","","1"
"1970","British Columbia","2016A000259","Males","Median age at marriage","Years","308","units","0","v1331244457","11.2.4","24.0","","","","1"
"1970","British Columbia","2016A000259","Females","Mean age at divorce","Years","308","units","0","v1331244450","11.3.1","37.7","","","","1"
"1970","British Columbia","2016A000259","Females","Median age at divorce","Years","308","units","0","v1331244451","11.3.2","35.7","","","","1"
"1970","British Columbia","2016A000259","Females","Mean age at marriage","Years","308","units","0","v1331244452","11.3.3","23.1","","","","1"
"1970","British Columbia","2016A000259","Females","Median age at marriage","Years","308","units","0","v1331244453","11.3.4","21.0","","","","1"
"1970","Yukon","2016A000260","Both sexes","Mean age at divorce","Years","308","units","0","v1331244470","12.1.1","35.8","","","","1"
"1970","Yukon","2016A000260","Both sexes","Median age at divorce","Years","308","units","0","v1331244471","12.1.2","34.4","","","","1"
"1970","Yukon","2016A000260","Both sexes","Mean age at marriage","Years","308","units","0","v1331244472","12.1.3","24.2","","","","1"
"1970","Yukon","2016A000260","Both sexes","Median age at marriage","Years","308","units","0","v1331244473","12.1.4","21.9","","","","1"
"1970","Yukon","2016A000260","Males","Mean age at divorce","Years","308","units","0","v1331244466","12.2.1","38.3","","","","1"
"1970","Yukon","2016A000260","Males","Median age at divorce","Years","308","units","0","v1331244467","12.2.2","36.6","","","","1"
"1970","Yukon","2016A000260","Males","Mean age at marriage","Years","308","units","0","v1331244468","12.2.3","26.7","","","","1"
"1970","Yukon","2016A000260","Males","Median age at marriage","Years","308","units","0","v1331244469","12.2.4","24.4","","","","1"
"1970","Yukon","2016A000260","Females","Mean age at divorce","Years","308","units","0","v1331244462","12.3.1","33.3","","","","1"
"1970","Yukon","2016A000260","Females","Median age at divorce","Years","308","units","0","v1331244463","12.3.2","29.6","","","","1"
"1970","Yukon","2016A000260","Females","Mean age at marriage","Years","308","units","0","v1331244464","12.3.3","21.7","","","","1"
"1970","Yukon","2016A000260","Females","Median age at marriage","Years","308","units","0","v1331244465","12.3.4","20.3","","","","1"
"1970","Northwest Territories including Nunavut","A000261","Both sexes","Mean age at divorce","Years","308","units","0","v1331244482","13.1.1","34.6","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Both sexes","Median age at divorce","Years","308","units","0","v1331244483","13.1.2","30.2","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Both sexes","Mean age at marriage","Years","308","units","0","v1331244484","13.1.3","24.6","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Both sexes","Median age at marriage","Years","308","units","0","v1331244485","13.1.4","24.1","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Males","Mean age at divorce","Years","308","units","0","v1331244478","13.2.1","35.1","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Males","Median age at divorce","Years","308","units","0","v1331244479","13.2.2","30.1","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Males","Mean age at marriage","Years","308","units","0","v1331244480","13.2.3","25.1","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Males","Median age at marriage","Years","308","units","0","v1331244481","13.2.4","24.3","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Females","Mean age at divorce","Years","308","units","0","v1331244474","13.3.1","34.1","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Females","Median age at divorce","Years","308","units","0","v1331244475","13.3.2","30.2","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Females","Mean age at marriage","Years","308","units","0","v1331244476","13.3.3","24.1","","","t","1"
"1970","Northwest Territories including Nunavut","A000261","Females","Median age at marriage","Years","308","units","0","v1331244477","13.3.4","22.4","","","t","1"
"1971","Canada","2016A000011124","Both sexes","Mean age at divorce","Years","308","units","0","v1331244494","1.1.1","37.9","","","","1"
"1971","Canada","2016A000011124","Both sexes","Median age at divorce","Years","308","units","0","v1331244495","1.1.2","36.0","","","","1"
"1971","Canada","2016A000011124","Both sexes","Mean age at marriage","Years","308","units","0","v1331244496","1.1.3","23.4","","","","1"
"1971","Canada","2016A000011124","Both sexes","Median age at marriage","Years","308","units","0","v1331244497","1.1.4","21.8","","","","1"
"1971","Canada","2016A000011124","Males","Mean age at divorce","Years","308","units","0","v1331244490","1.2.1","39.4","","","","1"
"1971","Canada","2016A000011124","Males","Median age at divorce","Years","308","units","0","v1331244491","1.2.2","37.6","","","","1"
"1971","Canada","2016A000011124","Males","Mean age at marriage","Years","308","units","0","v1331244492","1.2.3","24.8","","","","1"
"1971","Canada","2016A000011124","Males","Median age at marriage","Years","308","units","0","v1331244493","1.2.4","23.2","","","","1"
"1971","Canada","2016A000011124","Females","Mean age at divorce","Years","308","units","0","v1331244486","1.3.1","36.4","","","","1"
"1971","Canada","2016A000011124","Females","Median age at divorce","Years","308","units","0","v1331244487","1.3.2","34.4","","","","1"
"1971","Canada","2016A000011124","Females","Mean age at marriage","Years","308","units","0","v1331244488","1.3.3","21.9","","","","1"
"1971","Canada","2016A000011124","Females","Median age at marriage","Years","308","units","0","v1331244489","1.3.4","20.4","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Both sexes","Mean age at divorce","Years","308","units","0","v1331244350","2.1.1","36.8","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Both sexes","Median age at divorce","Years","308","units","0","v1331244351","2.1.2","33.4","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Both sexes","Mean age at marriage","Years","308","units","0","v1331244352","2.1.3","22.3","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Both sexes","Median age at marriage","Years","308","units","0","v1331244353","2.1.4","20.6","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Males","Mean age at divorce","Years","308","units","0","v1331244346","2.2.1","38.4","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Males","Median age at divorce","Years","308","units","0","v1331244347","2.2.2","34.8","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Males","Mean age at marriage","Years","308","units","0","v1331244348","2.2.3","24.0","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Males","Median age at marriage","Years","308","units","0","v1331244349","2.2.4","22.9","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Females","Mean age at divorce","Years","308","units","0","v1331244342","2.3.1","35.1","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Females","Median age at divorce","Years","308","units","0","v1331244343","2.3.2","30.8","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Females","Mean age at marriage","Years","308","units","0","v1331244344","2.3.3","20.7","","","","1"
"1971","Newfoundland and Labrador","2016A000210","Females","Median age at marriage","Years","308","units","0","v1331244345","2.3.4","19.2","","","","1"
"1971","Prince Edward Island","2016A000211","Both sexes","Mean age at divorce","Years","308","units","0","v1331244362","3.1.1","37.1","","","","1"
"1971","Prince Edward Island","2016A000211","Both sexes","Median age at divorce","Years","308","units","0","v1331244363","3.1.2","35.1","","","","1"
"1971","Prince Edward Island","2016A000211","Both sexes","Mean age at marriage","Years","308","units","0","v1331244364","3.1.3","22.1","","","","1"
"1971","Prince Edward Island","2016A000211","Both sexes","Median age at marriage","Years","308","units","0","v1331244365","3.1.4","21.0","","","","1"
"1971","Prince Edward Island","2016A000211","Males","Mean age at divorce","Years","308","units","0","v1331244358","3.2.1","38.7","","","","1"
"1971","Prince Edward Island","2016A000211","Males","Median age at divorce","Years","308","units","0","v1331244359","3.2.2","37.4","","","","1"
"1971","Prince Edward Island","2016A000211","Males","Mean age at marriage","Years","308","units","0","v1331244360","3.2.3","23.8","","","","1"
"1971","Prince Edward Island","2016A000211","Males","Median age at marriage","Years","308","units","0","v1331244361","3.2.4","22.6","","","","1"
"1971","Prince Edward Island","2016A000211","Females","Mean age at divorce","Years","308","units","0","v1331244354","3.3.1","35.4","","","","1"
"1971","Prince Edward Island","2016A000211","Females","Median age at divorce","Years","308","units","0","v1331244355","3.3.2","33.1","","","","1"
"1971","Prince Edward Island","2016A000211","Females","Mean age at marriage","Years","308","units","0","v1331244356","3.3.3","20.5","","","","1"
"1971","Prince Edward Island","2016A000211","Females","Median age at marriage","Years","308","units","0","v1331244357","3.3.4","19.3","","","","1"
"1971","Nova Scotia","2016A000212","Both sexes","Mean age at divorce","Years","308","units","0","v1331244374","4.1.1","37.7","","","","1"
"1971","Nova Scotia","2016A000212","Both sexes","Median age at divorce","Years","308","units","0","v1331244375","4.1.2","35.6","","","","1"
"1971","Nova Scotia","2016A000212","Both sexes","Mean age at marriage","Years","308","units","0","v1331244376","4.1.3","23.1","","","","1"
"1971","Nova Scotia","2016A000212","Both sexes","Median age at marriage","Years","308","units","0","v1331244377","4.1.4","21.7","","","","1"
"1971","Nova Scotia","2016A000212","Males","Mean age at divorce","Years","308","units","0","v1331244370","4.2.1","39.2","","","","1"
"1971","Nova Scotia","2016A000212","Males","Median age at divorce","Years","308","units","0","v1331244371","4.2.2","37.0","","","","1"
"1971","Nova Scotia","2016A000212","Males","Mean age at marriage","Years","308","units","0","v1331244372","4.2.3","24.5","","","","1"
"1971","Nova Scotia","2016A000212","Males","Median age at marriage","Years","308","units","0","v1331244373","4.2.4","23.1","","","","1"
"1971","Nova Scotia","2016A000212","Females","Mean age at divorce","Years","308","units","0","v1331244366","4.3.1","36.3","","","","1"
"1971","Nova Scotia","2016A000212","Females","Median age at divorce","Years","308","units","0","v1331244367","4.3.2","33.9","","","","1"
"1971","Nova Scotia","2016A000212","Females","Mean age at marriage","Years","308","units","0","v1331244368","4.3.3","21.6","","","","1"
"1971","Nova Scotia","2016A000212","Females","Median age at marriage","Years","308","units","0","v1331244369","4.3.4","20.3","","","","1"
"1971","New Brunswick","2016A000213","Both sexes","Mean age at divorce","Years","308","units","0","v1331244386","5.1.1","37.0","","","","1"
"1971","New Brunswick","2016A000213","Both sexes","Median age at divorce","Years","308","units","0","v1331244387","5.1.2","35.1","","","","1"
"1971","New Brunswick","2016A000213","Both sexes","Mean age at marriage","Years","308","units","0","v1331244388","5.1.3","22.2","","","","1"
"1971","New Brunswick","2016A000213","Both sexes","Median age at marriage","Years","308","units","0","v1331244389","5.1.4","21.1","","","","1"
"1971","New Brunswick","2016A000213","Males","Mean age at divorce","Years","308","units","0","v1331244382","5.2.1","38.3","","","","1"
"1971","New Brunswick","2016A000213","Males","Median age at divorce","Years","308","units","0","v1331244383","5.2.2","36.0","","","","1"
"1971","New Brunswick","2016A000213","Males","Mean age at marriage","Years","308","units","0","v1331244384","5.2.3","23.6","","","","1"
"1971","New Brunswick","2016A000213","Males","Median age at marriage","Years","308","units","0","v1331244385","5.2.4","22.3","","","","1"
"1971","New Brunswick","2016A000213","Females","Mean age at divorce","Years","308","units","0","v1331244378","5.3.1","35.6","","","","1"
"1971","New Brunswick","2016A000213","Females","Median age at divorce","Years","308","units","0","v1331244379","5.3.2","33.8","","","","1"
"1971","New Brunswick","2016A000213","Females","Mean age at marriage","Years","308","units","0","v1331244380","5.3.3","20.9","","","","1"
"1971","New Brunswick","2016A000213","Females","Median age at marriage","Years","308","units","0","v1331244381","5.3.4","19.9","","","","1"
"1971","Quebec","2016A000224","Both sexes","Mean age at divorce","Years","308","units","0","v1331244398","6.1.1","38.7","","","","1"
"1971","Quebec","2016A000224","Both sexes","Median age at divorce","Years","308","units","0","v1331244399","6.1.2","37.2","","","","1"
"1971","Quebec","2016A000224","Both sexes","Mean age at marriage","Years","308","units","0","v1331244400","6.1.3","23.3","","","","1"
"1971","Quebec","2016A000224","Both sexes","Median age at marriage","Years","308","units","0","v1331244401","6.1.4","22.2","","","","1"
"1971","Quebec","2016A000224","Males","Mean age at divorce","Years","308","units","0","v1331244394","6.2.1","40.0","","","","1"
"1971","Quebec","2016A000224","Males","Median age at divorce","Years","308","units","0","v1331244395","6.2.2","38.6","","","","1"
